Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5440

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 1.5454
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 4
                beta: 2
               omega: 0
                 e_v: 1.0000e-04

Running model run (ode15s):
Run to steady
Saving model run to
./RUN/output_006_steady.nc
Fields, IC & BC initialised
Initial phi calculated in 2.1s
36799.0/37230.0 days/days; walltime: 16.0
36800.0/37230.0 days/days; walltime: 4.2
36801.0/37230.0 days/days; walltime: 7.5
36802.0/37230.0 days/days; walltime: 8.3
36803.0/37230.0 days/days; walltime: 2.8
36804.0/37230.0 days/days; walltime: 3.2
36805.0/37230.0 days/days; walltime: 8.6
36806.0/37230.0 days/days; walltime: 1.6
36807.0/37230.0 days/days; walltime: 1.8
36808.0/37230.0 days/days; walltime: 4.5
36809.0/37230.0 days/days; walltime: 1.1
36810.0/37230.0 days/days; walltime: 0.9
36811.0/37230.0 days/days; walltime: 0.9
36812.0/37230.0 days/days; walltime: 0.9
36813.0/37230.0 days/days; walltime: 1.1
36814.0/37230.0 days/days; walltime: 1.0
36815.0/37230.0 days/days; walltime: 1.5
36816.0/37230.0 days/days; walltime: 0.5
36817.0/37230.0 days/days; walltime: 0.5
36818.0/37230.0 days/days; walltime: 0.5
36819.0/37230.0 days/days; walltime: 0.7
36820.0/37230.0 days/days; walltime: 1.1
36821.0/37230.0 days/days; walltime: 1.0
36822.0/37230.0 days/days; walltime: 0.9
36823.0/37230.0 days/days; walltime: 1.2
36824.0/37230.0 days/days; walltime: 1.0
36825.0/37230.0 days/days; walltime: 1.1
36826.0/37230.0 days/days; walltime: 1.1
36827.0/37230.0 days/days; walltime: 3.0
36828.0/37230.0 days/days; walltime: 0.5
36829.0/37230.0 days/days; walltime: 0.7
36830.0/37230.0 days/days; walltime: 0.5
36831.0/37230.0 days/days; walltime: 0.6
36832.0/37230.0 days/days; walltime: 0.5
36833.0/37230.0 days/days; walltime: 0.6
36834.0/37230.0 days/days; walltime: 0.5
36835.0/37230.0 days/days; walltime: 0.4
36836.0/37230.0 days/days; walltime: 0.4
36837.0/37230.0 days/days; walltime: 0.6
36838.0/37230.0 days/days; walltime: 0.4
36839.0/37230.0 days/days; walltime: 0.4
36840.0/37230.0 days/days; walltime: 0.4
36841.0/37230.0 days/days; walltime: 0.4
36842.0/37230.0 days/days; walltime: 0.6
36843.0/37230.0 days/days; walltime: 0.4
36844.0/37230.0 days/days; walltime: 0.4
36845.0/37230.0 days/days; walltime: 0.4
36846.0/37230.0 days/days; walltime: 0.4
36847.0/37230.0 days/days; walltime: 0.3
36848.0/37230.0 days/days; walltime: 0.4
36849.0/37230.0 days/days; walltime: 0.4
36850.0/37230.0 days/days; walltime: 0.4
36851.0/37230.0 days/days; walltime: 0.2
36852.0/37230.0 days/days; walltime: 0.3
36853.0/37230.0 days/days; walltime: 0.4
36854.0/37230.0 days/days; walltime: 0.3
36855.0/37230.0 days/days; walltime: 0.3
36856.0/37230.0 days/days; walltime: 0.2
36857.0/37230.0 days/days; walltime: 0.3
36858.0/37230.0 days/days; walltime: 0.2
36859.0/37230.0 days/days; walltime: 0.3
36860.0/37230.0 days/days; walltime: 0.3
36861.0/37230.0 days/days; walltime: 0.4
36862.0/37230.0 days/days; walltime: 0.3
36863.0/37230.0 days/days; walltime: 0.2
36864.0/37230.0 days/days; walltime: 0.3
36865.0/37230.0 days/days; walltime: 0.3
36866.0/37230.0 days/days; walltime: 0.3
36867.0/37230.0 days/days; walltime: 0.1
36868.0/37230.0 days/days; walltime: 0.3
36869.0/37230.0 days/days; walltime: 0.3
36870.0/37230.0 days/days; walltime: 0.2
36871.0/37230.0 days/days; walltime: 0.3
36872.0/37230.0 days/days; walltime: 0.3
36873.0/37230.0 days/days; walltime: 0.2
36874.0/37230.0 days/days; walltime: 0.3
36875.0/37230.0 days/days; walltime: 0.3
36876.0/37230.0 days/days; walltime: 0.1
36877.0/37230.0 days/days; walltime: 0.3
36878.0/37230.0 days/days; walltime: 0.1
36879.0/37230.0 days/days; walltime: 0.3
36880.0/37230.0 days/days; walltime: 0.3
36881.0/37230.0 days/days; walltime: 0.1
36882.0/37230.0 days/days; walltime: 0.3
36883.0/37230.0 days/days; walltime: 0.1
36884.0/37230.0 days/days; walltime: 0.3
36885.0/37230.0 days/days; walltime: 0.1
36886.0/37230.0 days/days; walltime: 0.3
36887.0/37230.0 days/days; walltime: 0.3
36888.0/37230.0 days/days; walltime: 0.1
36889.0/37230.0 days/days; walltime: 0.3
36890.0/37230.0 days/days; walltime: 0.1
36891.0/37230.0 days/days; walltime: 0.3
36892.0/37230.0 days/days; walltime: 0.1
36893.0/37230.0 days/days; walltime: 0.3
36894.0/37230.0 days/days; walltime: 0.1
36895.0/37230.0 days/days; walltime: 0.3
36896.0/37230.0 days/days; walltime: 0.1
36897.0/37230.0 days/days; walltime: 0.1
36898.0/37230.0 days/days; walltime: 0.3
36899.0/37230.0 days/days; walltime: 0.1
36900.0/37230.0 days/days; walltime: 0.3
36901.0/37230.0 days/days; walltime: 0.1
36902.0/37230.0 days/days; walltime: 0.3
36903.0/37230.0 days/days; walltime: 0.1
36904.0/37230.0 days/days; walltime: 0.1
36905.0/37230.0 days/days; walltime: 0.3
36906.0/37230.0 days/days; walltime: 0.1
36907.0/37230.0 days/days; walltime: 0.2
36908.0/37230.0 days/days; walltime: 0.1
36909.0/37230.0 days/days; walltime: 0.1
36910.0/37230.0 days/days; walltime: 0.3
36911.0/37230.0 days/days; walltime: 0.1
36912.0/37230.0 days/days; walltime: 0.3
