Case 1:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.18945

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0138
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.2500
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_001_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36726.0/37230.0 days/days; walltime: 10.6
36727.0/37230.0 days/days; walltime: 9.8
36728.0/37230.0 days/days; walltime: 7.5
36729.0/37230.0 days/days; walltime: 7.4
36730.0/37230.0 days/days; walltime: 6.0
36731.0/37230.0 days/days; walltime: 7.1
36732.0/37230.0 days/days; walltime: 24.5
36733.0/37230.0 days/days; walltime: 8.0
36734.0/37230.0 days/days; walltime: 11.5
36735.0/37230.0 days/days; walltime: 19.7
36736.0/37230.0 days/days; walltime: 12.0
36737.0/37230.0 days/days; walltime: 8.0
36738.0/37230.0 days/days; walltime: 15.0
36739.0/37230.0 days/days; walltime: 22.8
36740.0/37230.0 days/days; walltime: 11.7
36741.0/37230.0 days/days; walltime: 9.4
36742.0/37230.0 days/days; walltime: 16.4
36743.0/37230.0 days/days; walltime: 6.8
36744.0/37230.0 days/days; walltime: 5.8
36745.0/37230.0 days/days; walltime: 5.3
36746.0/37230.0 days/days; walltime: 7.1
36747.0/37230.0 days/days; walltime: 3.1
36748.0/37230.0 days/days; walltime: 2.9
36749.0/37230.0 days/days; walltime: 3.9
36750.0/37230.0 days/days; walltime: 2.2
36751.0/37230.0 days/days; walltime: 0.8
36752.0/37230.0 days/days; walltime: 0.5
36753.0/37230.0 days/days; walltime: 0.8
36754.0/37230.0 days/days; walltime: 0.4
36755.0/37230.0 days/days; walltime: 0.6
36756.0/37230.0 days/days; walltime: 0.4
36757.0/37230.0 days/days; walltime: 0.3
36758.0/37230.0 days/days; walltime: 0.3
36759.0/37230.0 days/days; walltime: 0.3
36760.0/37230.0 days/days; walltime: 0.3
36761.0/37230.0 days/days; walltime: 0.3
36762.0/37230.0 days/days; walltime: 0.3
